0,1,2,3,4
엔비디아 된서리에도…삼성전자·하이닉스 '외인·기관 순매수 1위'[핫종목],https://n.news.naver.com/mnews/article/421/0007623718,"엔비디아 주가 하락에도 국내 반도체 종목은 비교적 선방한 것으로 나타났다. 삼성전자(005930)는 외국인이, SK하이닉스(000660..",뉴스1 ,2024-06-25 17:24:46
"코스피, 사흘만에 2770선 회복… 외인·기관이 '쌍끌이'",https://n.news.naver.com/mnews/article/417/0001010477,코스피가 사흘만에 2770선을 회복했다. 엔비디아 등 미국 반도체주의 혼조 속에서도 외국인과 기관 매수세에 힘입어 지수가 오른 것이다...,머니S ,2024-06-25 17:23:33
"현대차, 노조 파업권 확보에도…인도IPO·실적개선에 '강세'[핫종목]",https://n.news.naver.com/mnews/article/421/0007623711,현대차(005380)가 인도법인 기업공개(IPO)과 실적개선 등 '호재'에 힘 입어 강세를 보이며 마감했다. 현대차 노조의 파업권 확보..,뉴스1 ,2024-06-25 17:23:08
 외인·기관 동반 매수에 2770선 안착[코스피 마감],https://n.news.naver.com/mnews/article/018/0005773502,25일 코스피 지수가 2770선 상승 마감했다. 코스피 지수는 나흘 만에 상승 전환했다. 외국인 투자자 자금이 삼성전자(005930)와..,이데일리 ,2024-06-25 17:19:13
“테슬라 주주로서 한 마디…엔비디아 하락? 귀엽네요” [투자360],https://n.news.naver.com/mnews/article/016/0002326842,‘테슬라 주주라면 엔비(디아) 지금? 귀엽다. (젠슨)황 회장 판다는데 그거 생각해야지. 지난주에도 팔고 계속 매도 때릴건데. 무섭지 ..,헤럴드경제 ,2024-06-25 17:02:24
역시 자발로는 안돼?…‘밸류업 공시’ 한 달인데 참여율 0.5% 고작 [투자360],https://n.news.naver.com/mnews/article/016/0002326840,국내 상장사들이 ‘코리아 디스카운트’(한국증시 저평가) 해소를 위해 기업가치 제고 계획을 알리는 ‘밸류업’(기업가치 제고) 공시 시행이..,헤럴드경제 ,2024-06-25 17:02:17
“더 떨어질지도 몰라”…슈퍼엔저 지속에 일학개미 가슴은 철렁 [투자360],https://n.news.naver.com/mnews/article/016/0002326839,일본 엔화가치가 다시 달러당 160엔대 코앞까지 추락하자 일본에 투자했던 ‘일학개미’들의 불안감이 커지고 있다. 이달 들어 엔화에 베팅..,헤럴드경제 ,2024-06-25 17:02:14
“조용히 ‘신고가’ 현비디아”·“외쳐 갓대차”…30만원 넘어 ‘목표가’ 40만원 도달 가능할까 [투자360],https://n.news.naver.com/mnews/article/016/0002326837,“현대차는 조용히 신고가를 기록하네요. 무림고수 같은 느낌으로 조용하고 강하게요.” (온라인 주식 커뮤니티) “내 주식 통장에서 현대차..,헤럴드경제 ,2024-06-25 16:54:14
엔비디아 급락에 관련 ETF도 ‘주르륵’… 고점 물린 개미 어쩌나,https://n.news.naver.com/mnews/article/366/0001000337,한투운용 ‘ACE 엔비디아밸류체인액티브’ 4.76% 하락 美 엔비디아 3거래일 연속 주가 내리막에 관련 ETF도 ‘휘청’ 미국 반도체 ..,조선비즈 ,2024-06-25 16:52:09
"엔비디아 고점서 판 투자자들, 코스피 찾을까…환율도 관건",https://n.news.naver.com/mnews/article/008/0005055360,코스피지수가 3거래일 만에 상승 마감했다. 강달러 현상이 소폭 진정된 가운데 외국인과 기관이 동반 매수에 나섰다. 증권가는 미국 뉴욕 ..,머니투데이 ,2024-06-25 16:47:52
"""짧은 납기가 강점"" 해외 수주 모멘텀에 K-방산주 상승세",https://n.news.naver.com/mnews/article/008/0005055359,국제 정세 불안이 지속되자 방산주가 해외 수출 기대감을 받으며 상승세를 보인다. 증권가에서는 수주 모멘텀(상승 여력)을 바탕으로 방산업..,머니투데이 ,2024-06-25 16:47:01
